Aircraft_ID;Model;Cruise_Speed_kmh;Max_Altitude_ft;Hourly_Fuel_Consumption_l;Max_Range_km
AC_00061;B737;823.12;33067.0;2769.01;6492.0
AC_00062;B787;906.15;36336.0;2481.74;4263.0
AC_00063;Cessna172;785.87;31587.0;2620.31;5895.0
AC_00064;B737;885.85;33053.0;1727.49;4431.0
AC_00065;B737;858.89;37424.0;2560.73;5240.0
AC_00066;B787;838.2;33548.0;3076.86;5121.0
AC_00067;B737;836.0;34013.0;2325.89;5971.0
AC_00068;B737;825.45;35180.0;2204.32;5567.0
AC_00069;B787;829.9;34256.0;2457.29;4675.0
AC_00070;B787;896.49;36382.0;2241.57;5762.0
AC_00071;A320;828.4;35352.0;2222.76;4936.0
AC_00072;Cessna172;940.38;31987.0;2579.5;5485.0
AC_00073;Cessna172;864.98;33530.0;2747.35;5207.0
AC_00074;B737;821.19;33314.0;2582.22;4851.0
AC_00075;Cessna172;898.67;34073.0;2156.11;4073.0
AC_00076;B737;881.19;35224.0;2299.24;5142.0
AC_00077;A320;767.29;35613.0;2596.32;4527.0
AC_00078;B787;798.28;30264.0;2697.22;4139.0
AC_00079;B787;844.23;37050.0;2437.59;5581.0
AC_00080;B787;770.82;34818.0;2232.01;4558.0
AC_00081;Cessna172;954.53;32759.0;2732.33;3736.0
AC_00082;A320;891.11;36905.0;3043.74;5002.0
AC_00083;Cessna172;849.33;30789.0;2837.14;4894.0
AC_00084;Cessna172;832.86;31849.0;3095.32;4957.0
AC_00085;A320;820.02;39258.0;2313.58;4956.0
AC_00086;A320;751.8;35293.0;2809.42;4296.0
AC_00087;A320;763.36;33526.0;2886.52;4720.0
AC_00088;A320;945.06;35217.0;2353.86;5727.0
AC_00089;B787;928.68;34637.0;2252.31;5598.0
AC_00090;A350;821.21;35072.0;2211.67;4753.0
AC_00091;A350;895.4;35978.0;2472.7;5410.0
AC_00092;A320;875.32;34604.0;2048.29;5065.0
AC_00093;A350;881.21;35709.0;3006.84;4769.0
AC_00094;A350;778.74;34684.0;2114.87;5873.0
AC_00095;A320;759.59;33358.0;2626.55;4374.0
AC_00096;A350;909.13;32788.0;1821.07;5215.0
AC_00097;Cessna172;751.04;37638.0;3113.58;3836.0
AC_00098;B737;842.59;36295.0;2874.83;5252.0
AC_00099;B737;831.61;37074.0;2021.86;4538.0
AC_00100;A320;826.99;35008.0;2591.51;4733.0
AC_00101;B787;865.72;35451.0;2427.53;4796.0
AC_00102;A320;816.12;34643.0;2546.51;3447.0
AC_00103;B787;869.79;37315.0;2690.59;3870.0
AC_00104;B737;857.06;34310.0;2259.83;5581.0
AC_00105;A320;954.94;33032.0;2483.92;5073.0
AC_00106;Cessna172;780.73;36043.0;1957.15;6021.0
AC_00107;A350;851.46;34696.0;2524.96;4042.0
AC_00108;B787;871.57;35500.0;1882.29;5596.0
AC_00109;A350;837.18;36422.0;2891.74;5322.0
AC_00110;A350;783.15;33842.0;2060.55;5815.0
AC_00111;A320;912.86;34562.0;2588.3;4925.0
AC_00112;A350;866.85;34379.0;2748.59;5080.0
AC_00113;Cessna172;786.66;37574.0;3059.25;4386.0
AC_00114;A350;871.93;35029.0;3032.0;4811.0
AC_00115;A320;935.08;35313.0;2918.17;4656.0
AC_00116;Cessna172;848.18;32687.0;2495.19;4072.0
AC_00117;B737;849.89;36462.0;2834.7;5095.0
AC_00118;A350;928.4;35856.0;2582.79;5659.0
AC_00119;A320;801.48;33330.0;2608.36;5826.0
AC_00120;B737;936.38;38846.0;2313.93;4433.0
AC_00121;B737;898.65;35674.0;3022.45;4975.0
AC_00122;B787;803.79;33753.0;2259.14;4906.0
AC_00123;Cessna172;816.59;34994.0;2178.88;6032.0
AC_00124;A350;823.76;34263.0;2622.29;6250.0
AC_00125;A320;758.32;38088.0;1962.38;4087.0
AC_00126;B787;863.02;36866.0;2535.27;5341.0
AC_00127;Cessna172;806.05;35908.0;2990.39;5372.0
AC_00128;B787;864.83;38434.0;2624.53;4860.0
AC_00129;Cessna172;785.45;32924.0;2509.49;4116.0
AC_00130;Cessna172;896.15;36552.0;2248.0;5494.0
AC_00131;A350;886.88;36095.0;2049.32;5851.0
AC_00132;Cessna172;814.71;34539.0;2759.07;4617.0
AC_00133;B787;867.98;34548.0;2508.4;5837.0
AC_00134;Cessna172;854.15;36846.0;2687.36;5003.0
AC_00135;A350;924.11;36700.0;1842.35;5995.0
AC_00136;A350;798.38;32155.0;2719.6;5994.0
AC_00137;B787;842.39;38633.0;3095.73;4984.0
AC_00138;B737;817.97;37286.0;2902.39;5292.0
AC_00139;B737;852.24;34437.0;2589.0;4508.0
AC_00140;Cessna172;876.66;33418.0;2186.66;3864.0
AC_00141;A320;817.41;37221.0;2536.54;5176.0
AC_00142;Cessna172;831.79;35993.0;2546.23;3974.0
AC_00143;B787;898.3;36433.0;2351.32;6465.0
AC_00144;B787;917.87;36142.0;2374.22;5797.0
AC_00145;B787;874.68;37429.0;3129.57;4894.0
AC_00146;B787;843.1;36712.0;2210.28;6867.0
AC_00147;B787;838.35;33932.0;2371.34;4559.0
AC_00148;A350;877.41;33815.0;2668.33;4725.0
AC_00149;B737;861.39;35712.0;3154.27;4717.0
AC_00150;B787;767.55;39579.0;2409.69;4955.0
AC_00151;A320;878.62;34700.0;1960.34;4783.0
AC_00152;A320;806.97;35726.0;1859.03;5320.0
AC_00153;A320;779.15;36789.0;3256.03;4301.0
AC_00154;A320;766.58;34162.0;1927.2;5090.0
AC_00155;A350;839.19;36595.0;2522.79;4620.0
AC_00156;A320;799.17;35028.0;2046.22;5044.0
AC_00157;B787;733.68;37500.0;2263.38;4242.0
AC_00158;Cessna172;832.08;33111.0;2305.52;4395.0
AC_00159;A320;825.47;39628.0;1913.41;6488.0
AC_00160;A350;842.5;34375.0;2865.71;4355.0
AC_00161;A350;818.56;36043.0;2629.23;5366.0
AC_00162;A320;941.47;35010.0;2371.89;4624.0
AC_00163;Cessna172;875.87;32843.0;2327.55;4288.0
AC_00164;A320;825.02;36667.0;2826.55;5045.0
AC_00165;A350;846.82;34471.0;2527.0;4392.0
AC_00166;B737;920.73;36051.0;3125.7;5363.0
AC_00167;B787;897.83;33390.0;2365.71;4913.0
AC_00168;A350;780.19;34480.0;2627.67;5935.0
AC_00169;A320;801.29;34411.0;2130.58;4086.0
AC_00170;B787;810.91;36101.0;2370.03;5193.0
AC_00171;A320;828.02;35616.0;2811.25;5259.0
AC_00172;A320;820.23;34647.0;2853.65;4302.0
AC_00173;B737;851.7;34260.0;3052.39;4535.0
AC_00174;B787;886.79;35630.0;2633.52;4004.0
AC_00175;B787;895.13;35395.0;2870.73;3908.0
AC_00176;B737;833.66;35258.0;2687.17;4917.0
AC_00177;A350;768.27;38939.0;2376.09;5565.0
AC_00178;A320;797.98;36104.0;2045.78;4908.0
AC_00179;Cessna172;824.01;38848.0;2430.56;4937.0
AC_00180;A320;787.75;34861.0;2156.41;4091.0
AC_00181;A320;907.04;34903.0;2816.38;3529.0
AC_00182;A350;791.02;33989.0;2833.41;5239.0
AC_00183;A320;880.85;35604.0;2195.34;4538.0
AC_00184;B737;765.91;34349.0;2833.64;3739.0
AC_00185;B737;882.86;34064.0;2145.91;4619.0
AC_00186;B787;843.04;31199.0;2933.39;5175.0
AC_00187;Cessna172;925.63;37932.0;2451.5;5282.0
AC_00188;A320;793.42;34233.0;2637.63;5139.0
AC_00189;A320;821.79;37950.0;2934.81;4513.0
AC_00190;A350;831.48;34808.0;2679.07;5416.0
AC_00191;B737;842.37;36289.0;2459.92;4986.0
AC_00192;Cessna172;832.7;35149.0;2762.4;4387.0
AC_00193;B787;833.67;35829.0;2209.76;4218.0
AC_00194;B737;832.85;32982.0;1921.3;5137.0
AC_00195;B787;746.44;37365.0;2843.81;5608.0
AC_00196;A350;899.67;34266.0;2106.21;5416.0
AC_00197;A350;993.06;36851.0;2776.56;5114.0
AC_00198;A320;864.91;32079.0;2542.37;5443.0
AC_00199;Cessna172;793.21;33491.0;2495.65;6660.0
AC_00200;B787;798.27;35744.0;2216.5;5201.0
AC_00201;B737;880.66;34673.0;2364.91;5110.0
AC_00202;A350;869.27;35914.0;2504.08;5381.0
AC_00203;A320;835.79;35415.0;2559.57;5525.0
AC_00204;A320;887.67;38656.0;2229.09;4065.0
AC_00205;B787;746.81;36081.0;2723.09;5124.0
AC_00206;A350;887.7;34135.0;2742.15;5703.0
AC_00207;Cessna172;861.89;34214.0;2645.17;6222.0
AC_00208;A350;800.2;37408.0;2368.4;5014.0
AC_00209;B787;778.33;31943.0;2757.84;4682.0
AC_00210;B787;856.07;36118.0;2686.32;5115.0
AC_00211;A350;920.36;32768.0;1913.76;4549.0
AC_00212;B787;838.6;37218.0;2563.4;6099.0
AC_00213;A350;807.37;34136.0;3079.95;5337.0
AC_00214;B737;859.56;36052.0;2791.58;4963.0
AC_00215;A350;941.04;35074.0;2846.04;5780.0
AC_00216;A350;871.56;32227.0;2289.66;4193.0
AC_00217;B787;876.97;36281.0;2537.69;3550.0
AC_00218;B787;911.14;33558.0;2445.06;5295.0
AC_00219;A320;873.63;36604.0;2499.33;5752.0
AC_00220;A320;810.95;32996.0;2345.71;4900.0
AC_00221;B737;762.77;35484.0;2129.41;4525.0
AC_00222;A320;803.92;35078.0;2519.3;4330.0
AC_00223;A350;794.76;33795.0;2265.81;4136.0
AC_00224;B787;882.97;37760.0;2675.81;5466.0
AC_00225;A320;889.92;35067.0;2490.79;5573.0
AC_00226;A320;858.78;34157.0;1921.84;5643.0
AC_00227;B737;786.57;35598.0;2914.55;5005.0
AC_00228;B737;939.33;32089.0;2630.6;4191.0
AC_00229;A350;829.19;39903.0;2362.61;4500.0
AC_00230;B787;880.17;32829.0;2399.08;5419.0
AC_00231;B737;852.47;36104.0;2131.56;4274.0
AC_00232;A320;860.43;35122.0;2481.27;4929.0
AC_00233;B787;878.41;37361.0;2704.35;4288.0
AC_00234;B787;815.2;35356.0;3023.48;4512.0
AC_00235;A320;915.27;33723.0;2473.4;4194.0
AC_00236;B737;771.02;31284.0;2514.69;5011.0
AC_00237;A320;798.07;31440.0;2857.76;3976.0
AC_00238;B787;914.62;34524.0;2152.36;4468.0
AC_00239;Cessna172;879.5;37741.0;2543.68;5596.0
AC_00240;Cessna172;977.02;31656.0;2273.12;5734.0
AC_00241;A350;853.42;38699.0;2539.35;5470.0
AC_00242;A320;935.02;37174.0;2781.02;5991.0
AC_00243;A320;757.13;32303.0;2004.35;4076.0
AC_00244;A350;779.32;32830.0;2833.35;4936.0
AC_00245;A350;894.78;33031.0;2607.9;5053.0
AC_00246;A350;762.98;35599.0;2541.97;6366.0
AC_00247;B787;840.13;34888.0;2903.8;4834.0
AC_00248;A320;908.36;34813.0;2262.8;5561.0
AC_00249;B787;875.06;33991.0;2098.06;6186.0
AC_00250;A350;850.55;35356.0;2192.67;5091.0
AC_00251;A320;827.54;36674.0;2659.81;4672.0
AC_00252;B787;860.11;34744.0;2351.51;4732.0
AC_00253;B787;878.86;33675.0;2237.94;3802.0
AC_00254;A350;816.96;36984.0;2206.79;4679.0
AC_00255;A320;868.59;34557.0;2552.43;4005.0
AC_00256;A350;903.92;36104.0;2491.74;5548.0
AC_00257;A320;838.88;34800.0;2074.36;3906.0
AC_00258;Cessna172;853.41;37170.0;2084.37;5275.0
AC_00259;B737;874.19;37466.0;2341.94;5796.0
AC_00260;B737;877.57;37397.0;2775.43;5510.0
AC_00261;B737;893.92;33896.0;2372.23;4662.0
AC_00262;A350;799.28;33876.0;2057.06;5535.0
AC_00263;Cessna172;823.55;36747.0;2474.01;5007.0
AC_00264;A320;825.41;34871.0;2511.41;4680.0
AC_00265;B787;804.8;34932.0;2054.48;4746.0
AC_00266;A320;760.08;33610.0;2134.66;5310.0
AC_00267;B787;687.28;37819.0;2723.18;3910.0
AC_00268;A320;909.77;37081.0;2130.87;4647.0
AC_00269;Cessna172;772.31;34762.0;2735.82;5262.0
AC_00270;B787;928.33;33709.0;2035.98;4641.0
AC_00271;A350;886.97;33621.0;2047.18;4096.0
AC_00272;A320;829.72;35266.0;2506.94;4376.0
AC_00273;A320;880.82;35774.0;2273.61;5120.0
AC_00274;B787;871.26;33275.0;2339.56;5338.0
AC_00275;A350;794.91;32510.0;2545.5;5759.0
AC_00276;A350;849.25;35159.0;2330.76;5547.0
AC_00277;Cessna172;801.01;36729.0;2215.56;5538.0
AC_00278;A350;882.71;35148.0;2647.15;3655.0
AC_00279;A350;814.24;34501.0;2554.21;5527.0
AC_00280;A350;845.17;32740.0;2512.98;4638.0
AC_00281;B737;843.01;33732.0;2494.56;3991.0
AC_00282;Cessna172;856.08;36757.0;2259.42;5391.0
AC_00283;A320;933.13;32494.0;2196.87;5125.0
AC_00284;B787;837.95;38545.0;2396.58;5619.0
AC_00285;A320;910.9;35170.0;2264.39;4626.0
AC_00286;Cessna172;874.0;31827.0;2496.26;4996.0
AC_00287;B787;920.92;36006.0;2382.51;3739.0
AC_00288;Cessna172;833.08;35900.0;2505.4;6373.0
AC_00289;A350;884.81;34125.0;2472.13;4063.0
AC_00290;B787;847.04;36879.0;3029.58;4433.0
AC_00291;A350;700.53;33760.0;2084.14;4278.0
AC_00292;A320;795.51;36264.0;2443.8;5145.0
AC_00293;A320;879.12;34930.0;2167.69;4406.0
AC_00294;B787;875.81;34433.0;2355.08;5755.0
AC_00295;B787;785.25;37686.0;2254.9;5220.0
AC_00296;Cessna172;861.02;36967.0;2691.69;3957.0
AC_00297;Cessna172;875.16;32785.0;2057.83;5546.0
AC_00298;A350;848.27;35761.0;2734.24;5638.0
AC_00299;B787;886.44;38787.0;2658.91;4490.0
AC_00300;A320;879.63;37738.0;3116.62;4199.0
AC_00301;Cessna172;848.24;33181.0;3040.9;5279.0
AC_00302;Cessna172;824.46;38192.0;2260.62;5461.0
AC_00303;A320;902.13;36860.0;2871.06;4298.0
AC_00304;Cessna172;873.16;32903.0;2402.69;5646.0
AC_00305;A350;780.93;35415.0;2591.34;4598.0
AC_00306;B787;861.04;35955.0;3016.03;5828.0
AC_00307;A320;792.45;32846.0;2272.54;3894.0
AC_00308;B787;801.77;36412.0;2516.78;4487.0
AC_00309;Cessna172;817.4;39860.0;1915.78;4854.0
AC_00310;Cessna172;852.24;37730.0;2766.38;4306.0
AC_00311;A320;868.72;35324.0;3130.79;4978.0
AC_00312;A350;829.55;34437.0;2671.98;4757.0
AC_00313;B737;831.74;35657.0;2910.43;4853.0
AC_00314;A320;824.84;33050.0;2842.59;4717.0
AC_00315;B737;902.38;34045.0;2288.02;4097.0
AC_00316;B737;707.35;31076.0;2597.26;4984.0
AC_00317;A350;834.57;35869.0;2648.17;4912.0
AC_00318;B737;927.25;34325.0;2150.08;4294.0
AC_00319;B737;875.86;36236.0;2933.4;5874.0
AC_00320;A350;913.34;35240.0;2348.59;5220.0
AC_00321;B737;748.29;32978.0;2434.95;5504.0
AC_00322;B737;787.89;35401.0;2420.91;4434.0
AC_00323;B737;875.7;33573.0;2511.25;3384.0
AC_00324;A320;927.53;38311.0;3378.9;6221.0
AC_00325;A320;792.94;33313.0;2318.04;5118.0
AC_00326;A320;830.61;34060.0;2036.24;5255.0
AC_00327;A350;870.07;32973.0;2549.08;5224.0
AC_00328;Cessna172;777.38;32800.0;2241.1;5279.0
AC_00329;B737;876.08;35060.0;2377.41;4255.0
AC_00330;B737;716.22;32509.0;2685.95;4280.0
AC_00331;A350;874.61;34624.0;2173.73;4282.0
AC_00332;B737;800.25;35860.0;2390.77;5386.0
AC_00333;A320;827.62;34153.0;2587.89;4151.0
AC_00334;Cessna172;882.59;30594.0;2266.5;3930.0
AC_00335;B787;872.36;37668.0;2488.13;4550.0
AC_00336;B737;849.6;35533.0;2587.73;4809.0
AC_00337;A320;898.45;35557.0;2465.1;4965.0
AC_00338;B787;764.99;34536.0;2547.08;4660.0
AC_00339;Cessna172;860.22;36622.0;2607.05;5339.0
AC_00340;B787;810.49;36876.0;2298.03;5817.0
AC_00341;A320;895.9;37076.0;2059.55;5034.0
AC_00342;B787;884.35;35537.0;2189.33;5813.0
AC_00343;A350;886.17;32248.0;2140.55;5385.0
AC_00344;B787;932.27;35810.0;2869.74;4331.0
AC_00345;B737;906.32;35535.0;1979.2;4407.0
AC_00346;B737;842.13;33903.0;2688.43;4372.0
AC_00347;A350;849.94;33396.0;2294.63;4866.0
AC_00348;A320;880.05;36086.0;2810.61;4805.0
AC_00349;B737;856.81;34848.0;2373.38;5416.0
AC_00350;Cessna172;885.26;34220.0;2509.29;4890.0
AC_00351;B737;738.48;38345.0;2655.21;5173.0
AC_00352;B737;944.04;36343.0;2876.28;4183.0
AC_00353;A320;853.05;35869.0;2328.97;5169.0
AC_00354;B787;768.88;37437.0;2315.07;4665.0
AC_00355;B737;804.31;35661.0;2653.41;4614.0
AC_00356;A350;743.53;33592.0;2023.9;4547.0
AC_00357;B787;795.49;34221.0;1984.74;6058.0
AC_00358;Cessna172;842.89;36464.0;2610.09;4174.0
AC_00359;A320;925.74;36250.0;2700.77;5474.0
AC_00360;Cessna172;870.53;35893.0;2600.15;4967.0
AC_00361;B787;861.64;32725.0;2470.7;4048.0
AC_00362;B787;793.24;36627.0;2338.47;4792.0
AC_00363;B787;808.78;34870.0;2976.27;3364.0
AC_00364;Cessna172;812.65;36200.0;3015.31;6204.0
AC_00365;B787;814.69;33340.0;2532.28;4742.0
AC_00366;Cessna172;832.42;38932.0;2294.88;5781.0
AC_00367;B787;836.2;35495.0;2197.27;5942.0
AC_00368;A350;833.05;34165.0;2629.36;4602.0
AC_00369;B787;816.43;36292.0;2131.45;5021.0
AC_00370;Cessna172;856.75;36716.0;2138.4;5130.0
AC_00371;B737;834.28;36268.0;2354.72;6330.0
AC_00372;B787;770.22;33010.0;2652.16;4866.0
AC_00373;B737;851.72;37285.0;2940.62;4962.0
AC_00374;A350;844.16;34310.0;2575.24;4021.0
AC_00375;A320;771.02;34968.0;2648.99;4374.0
AC_00376;A350;820.43;30582.0;2794.8;4650.0
AC_00377;B787;879.85;34072.0;2766.82;5911.0
AC_00378;B737;793.18;34059.0;2334.42;6325.0
AC_00379;B737;787.89;35901.0;2761.35;5351.0
AC_00380;Cessna172;833.76;33950.0;2809.54;5246.0
AC_00381;B737;881.15;31757.0;2593.22;5479.0
AC_00382;Cessna172;940.52;35488.0;2540.94;4521.0
AC_00383;A320;882.95;34499.0;2679.83;5973.0
AC_00384;B787;904.24;33543.0;2648.5;3998.0
AC_00385;Cessna172;867.33;35175.0;1941.1;4682.0
AC_00386;A320;815.74;31441.0;2628.65;5457.0
AC_00387;B737;882.59;36241.0;2853.73;4663.0
AC_00388;B737;845.72;34634.0;2796.6;6728.0
AC_00389;A320;868.85;34465.0;2613.14;5467.0
AC_00390;B737;802.7;36906.0;2544.42;5688.0
AC_00391;A320;873.32;33928.0;2380.94;4469.0
AC_00392;Cessna172;843.97;35517.0;2465.65;5675.0
AC_00393;Cessna172;861.56;34741.0;2718.21;5567.0
AC_00394;A320;845.75;41432.0;2615.37;6095.0
AC_00395;Cessna172;836.14;35977.0;2771.12;3465.0
AC_00396;Cessna172;874.23;32717.0;2344.21;4454.0
AC_00397;Cessna172;829.7;38504.0;2825.08;5235.0
AC_00398;A350;770.57;37086.0;2314.47;5256.0
AC_00399;B787;756.3;35090.0;2560.83;4968.0
AC_00400;B737;859.22;34125.0;2331.43;3930.0
AC_00401;A350;827.64;32347.0;2470.47;5138.0
AC_00402;Cessna172;763.55;35861.0;3110.14;5216.0
AC_00403;A320;855.33;33650.0;2652.81;4998.0
AC_00404;Cessna172;845.31;33240.0;2567.56;4974.0
AC_00405;B787;825.02;36551.0;2923.59;5660.0
AC_00406;Cessna172;862.34;38090.0;1730.59;4892.0
AC_00407;A320;915.75;34047.0;2452.36;4125.0
AC_00408;B787;914.23;36612.0;2350.09;5982.0
AC_00409;Cessna172;857.19;35424.0;2242.74;5943.0
AC_00410;B787;845.76;35718.0;2041.41;4972.0
AC_00411;B737;857.89;33363.0;2434.27;5613.0
AC_00412;B737;865.45;34575.0;2708.05;3933.0
AC_00413;Cessna172;836.59;32807.0;2455.94;4899.0
AC_00414;B787;858.73;32555.0;2739.67;3800.0
AC_00415;A320;771.32;36037.0;2521.45;5787.0
AC_00416;Cessna172;854.07;33951.0;2849.85;3953.0
AC_00417;B737;873.84;33170.0;2349.16;4712.0
AC_00418;B737;825.51;32581.0;1938.2;5151.0
AC_00419;Cessna172;845.23;31973.0;2025.89;5577.0
AC_00420;B787;794.42;31087.0;2350.67;5369.0
AC_00421;B737;787.48;35222.0;2235.96;5800.0
AC_00422;B787;860.54;29745.0;2322.85;5563.0
AC_00423;B737;813.52;35943.0;2841.61;5916.0
AC_00424;B737;761.16;35929.0;2049.67;3771.0
AC_00425;A350;794.41;34802.0;2952.44;4661.0
AC_00426;B737;801.68;35148.0;2258.27;5316.0
AC_00427;A320;888.73;34429.0;2126.8;6102.0
AC_00428;Cessna172;858.96;35450.0;2458.49;4646.0
AC_00429;Cessna172;806.42;35427.0;2949.71;6376.0
AC_00430;B787;820.61;37603.0;2286.31;5247.0
AC_00431;B737;915.6;38066.0;2319.71;4502.0
AC_00432;A320;896.81;38004.0;2339.75;4192.0
AC_00433;B787;794.1;33405.0;2845.01;5515.0
AC_00434;A350;908.18;36515.0;2366.15;4552.0
AC_00435;B787;845.97;36012.0;2633.87;4809.0
AC_00436;B787;889.98;33702.0;2536.18;5113.0
AC_00437;B737;841.83;33227.0;2467.0;5140.0
AC_00438;A350;909.29;34247.0;2350.4;6339.0
AC_00439;B787;792.02;32878.0;3090.69;5276.0
AC_00440;A320;837.23;32221.0;3337.62;4577.0
AC_00441;A320;910.82;35995.0;2234.96;4478.0
AC_00442;Cessna172;730.37;35065.0;2178.57;6167.0
AC_00443;A350;847.7;35055.0;2512.23;4639.0
AC_00444;A350;830.32;36853.0;1818.1;5409.0
AC_00445;Cessna172;884.23;34608.0;2514.49;5135.0
AC_00446;B787;903.5;36661.0;3102.16;5294.0
AC_00447;A350;886.51;33522.0;2320.33;5979.0
AC_00448;A320;862.05;33510.0;2824.14;5198.0
AC_00449;A320;852.03;35028.0;2940.8;5572.0
AC_00450;B737;832.86;39243.0;2241.52;5214.0
AC_00451;A350;860.5;37571.0;2553.49;4683.0
AC_00452;B787;922.98;37196.0;2606.22;5346.0
AC_00453;Cessna172;808.47;32256.0;2718.67;4544.0
AC_00454;Cessna172;829.9;35290.0;2740.53;4185.0
AC_00455;B787;846.22;36642.0;2836.75;5407.0
AC_00456;B737;900.05;39171.0;2265.36;5325.0
AC_00457;Cessna172;861.17;31633.0;2552.21;5253.0
AC_00458;A350;899.17;36462.0;2944.72;4984.0
AC_00459;B737;901.71;37129.0;2977.15;4949.0
AC_00460;A350;879.6;35903.0;2567.53;4242.0
AC_00461;A320;796.8;32299.0;2340.51;3696.0
AC_00462;B737;933.05;35507.0;2810.57;5621.0
AC_00463;Cessna172;920.62;35858.0;2660.87;5612.0
AC_00464;B737;853.18;35356.0;2654.39;4824.0
AC_00465;B737;780.91;33630.0;2732.73;6030.0
AC_00466;B737;771.98;33382.0;2214.79;5350.0
AC_00467;B737;862.72;35912.0;2754.14;5237.0
AC_00468;A350;814.91;33647.0;2546.36;6412.0
AC_00469;A320;764.14;33693.0;2842.45;4122.0
AC_00470;B787;771.03;34721.0;2506.14;4967.0
AC_00471;B737;826.5;35320.0;2675.02;4404.0
AC_00472;Cessna172;859.75;37077.0;2637.2;4743.0
AC_00473;B737;920.29;32608.0;2336.22;4953.0
AC_00474;Cessna172;874.21;32410.0;2229.48;4969.0
AC_00475;A350;830.93;34236.0;2742.0;4249.0
AC_00476;Cessna172;869.0;31400.0;2242.94;5048.0
AC_00477;B787;864.53;36173.0;2399.18;4423.0
AC_00478;A320;886.98;31013.0;2390.11;5838.0
AC_00479;Cessna172;848.0;36415.0;2610.14;5535.0
AC_00480;Cessna172;901.81;37218.0;2702.72;5241.0
AC_00481;A320;891.22;35519.0;2033.02;4667.0
AC_00482;B787;854.14;31285.0;2282.46;5108.0
AC_00483;B737;844.04;35212.0;2268.34;5495.0
AC_00484;Cessna172;895.99;33407.0;2431.59;4762.0
AC_00485;A320;814.33;32596.0;1902.33;3887.0
